"X1","X2","X3"
9.011875,0.79165625,0.5865
9.391875,0.91109375,0.7025
9.819375,1.23265625,0.4935
10.389375,1.20115625,0.2815
10.674375,0.61578125,0.2395
11.101875,0.43728125,0.8475
11.291875,1.14603125,0.1065
11.814375,1.39540625,0.1735
12.313125,0.50290625,0.7115
12.503125,0.40446875,0.5425
12.811875,1.16440625,0.8085
13.191875,0.70765625,0.6475
13.666875,0.83759375,0.1285
14.213125,1.04496875,0.1975
14.355625,1.36784375,0.7375
14.759375,0.51996875,0.1485
15.353125,1.27071875,0.8955
15.471875,0.47534375,0.3155
16.089375,1.11453125,0.6395
16.255625,1.07121875,0.4705
16.635625,0.76278125,0.2175
17.039375,0.35196875,0.4375
17.443125,0.67615625,0.3775
17.775625,0.62759375,0.8585
18.203125,0.41759375,0.6615
18.511875,0.96096875,0.7845
18.963125,1.27990625,0.2675
19.343125,1.33240625,0.7575
19.818125,0.95440625,0.4535
20.245625,1.10403125,0.6125
20.435625,1.33765625,0.5085
20.791875,0.78771875,0.8275
21.171875,0.99771875,0.1805
21.884375,0.85465625,0.5575
22.050625,0.65121875,0.2955
22.573125,0.48846875,0.5215
22.691875,0.73521875,0.6795
23.380625,0.38478125,0.3885
23.808125,1.03971875,0.3445
24.116875,1.18671875,0.2485
24.306875,0.68796875,0.4185
24.639375,0.92028125,0.7505
25.138125,0.87565625,0.4265
25.470625,0.82709375,0.5975
26.064375,1.31009375,0.3665
26.373125,0.54621875,0.3335
26.563125,0.56590625,0.8705
26.895625,0.58953125,0.5705
27.536875,1.01740625,0.7975
27.940625,1.21821875,0.1395
9.225625,0.46221875,0.2455
9.605625,0.67878125,0.5595
10.104375,0.53309375,0.4665
10.246875,1.27465625,0.6045
10.840625,0.39528125,0.3755
11.006875,0.83365625,0.4335
11.624375,0.59478125,0.6705
11.671875,1.02921875,0.6775
12.051875,1.36521875,0.4105
12.479375,1.39803125,0.7745
12.883125,1.00428125,0.4875
13.334375,0.90584375,0.2695
13.761875,1.22215625,0.7595
13.951875,1.14078125,0.2155
14.450625,0.41890625,0.7905
15.068125,1.35078125,0.3385
15.115625,0.69715625,0.7135
15.495625,0.72078125,0.3605
16.065625,0.76671875,0.5875
16.540625,0.62365625,0.5005
16.730625,1.08828125,0.8435
17.348125,0.80740625,0.8115
17.490625,0.60396875,0.2965
17.751875,0.96490625,0.2325
