"X1","X2","X3"
0.013,0.069,0.853
0.023,0.995,0.519
0.055,0.035,0.111
0.069,0.609,0.289
0.085,0.537,0.915
0.101,0.315,0.749
0.137,0.965,0.363
0.143,0.395,0.217
0.165,0.049,0.453
0.183,0.261,0.429
0.201,0.281,0.963
0.233,0.751,0.897
0.241,0.223,0.689
0.277,0.827,0.061
0.285,0.591,0.385
0.301,0.803,0.261
0.337,0.141,0.561
0.355,0.081,0.793
0.361,0.919,0.549
0.381,0.761,0.641
0.405,0.561,0.581
0.425,0.665,0.163
0.451,0.409,0.047
0.471,0.923,0.401
0.493,0.739,0.825
0.505,0.321,0.235
0.529,0.547,0.333
0.557,0.431,0.701
0.575,0.137,0.995
0.597,0.711,0.465
0.605,0.863,0.157
0.625,0.245,0.531
0.647,0.005,0.863
0.661,0.519,0.939
0.685,0.451,0.253
0.719,0.461,0.499
0.725,0.659,0.011
0.741,0.361,0.085
0.773,0.167,0.021
0.789,0.849,0.671
0.809,0.631,0.775
0.827,0.107,0.727
0.859,0.487,0.343
0.863,0.789,0.951
0.891,0.951,0.807
0.909,0.889,0.131
0.921,0.347,0.183
0.959,0.681,0.621
0.961,0.185,0.319
0.981,0.215,0.601
0.017,0.731,0.585
0.033,0.775,0.125
0.041,0.945,0.279
0.061,0.425,0.413
0.097,0.189,0.395
0.117,0.927,0.861
0.133,0.709,0.297
0.145,0.445,0.683
0.167,0.059,0.065
0.197,0.671,0.005
0.203,0.581,0.521
0.225,0.233,0.791
0.255,0.555,0.815
0.271,0.253,0.145
0.287,0.985,0.447
0.315,0.265,0.511
0.335,0.061,0.617
0.353,0.967,0.177
0.371,0.757,0.491
0.385,0.003,0.359
0.415,0.869,0.845
0.433,0.525,0.421
0.447,0.295,0.907
0.463,0.309,0.367
0.495,0.375,0.579
0.509,0.823,0.089
0.525,0.207,0.207
0.551,0.121,0.885
0.565,0.607,0.729
0.589,0.359,0.103
0.613,0.481,0.467
0.627,0.623,0.971
0.645,0.573,0.033
0.667,0.163,0.051
0.689,0.685,0.303
0.701,0.887,0.625
0.721,0.401,0.925
0.757,0.465,0.707
0.765,0.151,0.245
0.795,0.091,0.989
0.807,0.399,0.185
0.837,0.795,0.337
0.843,0.853,0.835
0.877,0.515,0.945
0.889,0.811,0.643
0.915,0.647,0.747
0.923,0.037,0.773
0.949,0.111,0.541
0.973,0.913,0.223
0.993,0.339,0.661
0.001,0.193,0.095
0.021,0.583,0.069
0.051,0.747,0.371
0.065,0.529,0.703
0.099,0.921,0.545
0.105,0.917,0.161
0.127,0.313,0.529
0.149,0.089,0.681
0.161,0.335,0.831
0.181,0.881,0.959
0.209,0.693,0.137
0.229,0.493,0.323
0.259,0.615,0.597
0.275,0.129,0.877
0.297,0.469,0.931
0.305,0.807,0.737
0.333,0.149,0.149
0.349,0.549,0.057
0.375,0.351,0.247
0.383,0.381,0.741
0.403,0.679,0.403
0.421,0.065,0.471
0.441,0.297,0.503
0.465,0.783,0.003
0.483,0.955,0.785
0.501,0.843,0.983
0.539,0.701,0.639
0.555,0.969,0.451
0.567,0.517,0.191
0.581,0.243,0.295
0.607,0.379,0.965
0.633,0.179,0.881
0.641,0.407,0.397
0.677,0.101,0.647
0.695,0.031,0.277
0.709,0.723,0.803
0.737,0.221,0.489
0.747,0.825,0.027
0.771,0.459,0.105
0.787,0.043,0.859
0.801,0.575,0.347
0.829,0.269,0.315
0.847,0.657,0.611
0.871,0.437,0.677
0.887,0.201,0.769
0.919,0.871,0.905
0.939,0.767,0.203
0.941,0.991,0.573
0.979,0.637,0.425
0.983,0.017,0.229
0.019,0.139,0.669
0.031,0.961,0.393
0.049,0.725,0.765
0.063,0.307,0.369
0.091,0.143,0.083
0.109,0.627,0.037
0.123,0.423,0.781
0.151,0.479,0.411
0.169,0.805,0.619
0.185,0.907,0.063
0.205,0.847,0.263
0.221,0.697,0.481
0.257,0.405,0.623
0.269,0.191,0.241
0.289,0.959,0.883
0.311,0.875,0.431
0.321,0.211,0.981
0.341,0.773,0.847
0.365,0.601,0.459
0.397,0.165,0.733
0.407,0.495,0.929
0.431,0.987,0.595
0.453,0.533,0.219
0.475,0.225,0.115
0.497,0.895,0.239
0.511,0.273,0.571
0.527,0.643,0.827
0.543,0.343,0.879
0.579,0.117,0.687
0.591,0.587,0.469
0.615,0.323,0.715
0.637,0.717,0.001
0.653,0.509,0.651
0.669,0.067,0.949
0.693,0.749,0.515
0.705,0.015,0.049
0.735,0.397,0.355
0.749,0.099,0.527
0.777,0.929,0.553
0.781,0.785,0.167
0.803,0.021,0.321
0.823,0.369,0.975
0.841,0.667,0.901
0.873,0.293,0.811
0.883,0.543,0.743
0.901,0.453,0.143
0.925,0.045,0.123
0.945,0.839,0.305
0.965,0.569,0.293
0.987,0.247,0.181
0.011,0.075,0.307
0.029,0.429,0.019
0.045,0.611,0.829
0.067,0.217,0.809
0.081,0.835,0.427
0.103,0.621,0.543
0.139,0.937,0.255
0.147,0.977,0.633
0.163,0.285,0.215
0.193,0.589,0.195
0.211,0.051,0.169
0.223,0.227,0.537
0.245,0.497,0.663
0.273,0.391,0.849
0.281,0.097,0.697
0.307,0.013,0.449
0.325,0.175,0.325
0.359,0.903,0.761
0.363,0.769,0.973
0.393,0.689,0.045
0.417,0.563,0.799
