"X1","X2","X3","X4","X5","X6","X7"
9.059375,1.11846875,0.7275,0.5175,3.21125,-0.21125,1.1053125
9.748125,1.26546875,0.7805,0.5305,4.20375,1.37625,1.3521875
9.890625,0.95440625,0.2975,0.2595,4.32625,0.59875,1.2821875
10.175625,0.52521875,0.3365,0.8555,4.79375,0.86625,1.2384375
10.793125,1.23528125,0.4745,0.5845,3.71625,-0.01875,1.4315625
11.101875,1.09615625,0.6305,0.9925,4.26375,0.64625,1.3821875
11.315625,0.64465625,0.5855,0.7105,4.46375,-0.27875,1.0515625
11.861875,0.39134375,0.2115,0.9525,3.03875,0.72125,1.1371875
12.218125,0.53965625,0.2475,0.3625,4.40375,1.09875,1.4871875
12.740625,0.81134375,0.8635,0.6855,4.96625,0.93875,1.4146875
13.025625,1.37571875,0.6735,0.4765,4.18125,0.08375,1.0278125
13.381875,0.39921875,0.4555,0.3855,3.56625,1.11375,1.0396875
13.785625,0.50553125,0.7975,0.9085,3.98625,1.40375,1.3040625
14.165625,0.67353125,0.4325,0.8615,3.36625,0.69125,1.4959375
14.355625,0.45959375,0.6595,0.4435,4.83625,1.21375,1.2509375
14.806875,1.04365625,0.8355,0.8145,4.37375,-0.24875,1.2903125
15.234375,1.30878125,0.2885,0.8345,4.61875,0.12875,1.0621875
15.566875,0.35590625,0.5985,0.4335,4.01625,-0.15375,1.3278125
16.089375,0.72865625,0.8515,0.5835,3.62375,0.17875,1.1603125
16.231875,0.79034375,0.3885,0.6175,3.28125,-0.41375,1.0053125
16.944375,0.70634375,0.5185,0.3475,4.56875,0.26625,1.1434375
17.205625,1.18409375,0.6855,0.4915,3.04125,0.57875,1.2184375
17.561875,0.83234375,0.2335,0.6365,4.87875,1.23625,1.3346875
17.823125,0.42021875,0.1195,0.6015,3.67875,0.30125,1.0896875
18.321875,1.33896875,0.3705,0.3955,3.16875,-0.37375,1.2428125
18.559375,0.44121875,0.3865,0.4125,3.12125,0.78875,1.3403125
18.891875,0.93471875,0.1485,0.9355,3.87125,0.34625,1.4040625
19.461875,0.56984375,0.4145,0.8945,4.10875,1.14875,1.1121875
19.984375,0.96753125,0.6255,0.4705,4.15625,1.43875,1.1884375
20.364375,1.22084375,0.3435,0.3425,3.24875,1.28125,1.1215625
20.506875,0.85465625,0.1015,0.9775,4.50875,-0.11875,1.1503125
21.100625,1.03578125,0.1885,0.2185,3.83625,0.39625,1.2078125
21.243125,0.70896875,0.7485,0.2425,4.75375,0.75375,1.4640625
21.670625,0.98984375,0.7105,0.8855,4.55125,0.46375,1.0109375
22.216875,1.12896875,0.1745,0.7535,3.53625,-0.49625,1.1959375
22.454375,1.01084375,0.8915,0.2105,4.69625,-0.03125,1.1715625
22.953125,1.39671875,0.8075,0.6495,4.28875,-0.45875,1.3171875
23.333125,0.85203125,0.1345,0.7365,3.92125,1.32375,1.2728125
23.784375,0.63415625,0.5365,0.2895,3.78125,0.24625,1.4753125
23.974375,1.20771875,0.7055,0.3015,4.04125,1.02875,1.4278125
24.330625,0.61446875,0.5135,0.9395,3.89375,-0.09625,1.3603125
24.876875,0.87959375,0.3125,0.7785,3.08125,0.53875,1.4565625
25.209375,0.48321875,0.4395,0.3195,3.75125,-0.30875,1.0903125
25.660625,0.58821875,0.2725,0.2715,3.48375,1.47375,1.2628125
26.064375,0.74965625,0.4925,0.7185,4.64625,0.85125,1.4453125
26.159375,1.27465625,0.2275,0.6695,3.35375,0.44875,1.0459375
26.634375,1.33109375,0.5755,0.8005,3.47375,0.19625,1.3971875
26.871875,1.08434375,0.5515,0.5365,4.94625,0.02125,1.3790625
27.346875,0.91371875,0.7635,0.7605,3.40625,0.94375,1.0771875
27.726875,1.14865625,0.8755,0.5595,4.89125,0.98875,1.2259375
9.225625,0.72471875,0.2125,0.6505,3.07375,1.02375,1.3246875
9.700625,0.36771875,0.3535,0.3045,3.97125,0.03625,1.3065625
9.771875,1.09353125,0.6715,0.5385,4.38625,0.74625,1.3996875
10.341875,1.31928125,0.7955,0.8455,4.48875,0.73125,1.1528125
10.721875,0.73784375,0.4795,0.6125,4.93875,0.15625,1.2109375
11.173125,0.60396875,0.5605,0.3155,4.18625,1.17125,1.4440625
11.481875,0.96621875,0.6505,0.3345,4.99125,1.21625,1.1109375
11.719375,1.31403125,0.8305,0.7985,3.88125,-0.08625,1.3471875
12.241875,1.10928125,0.1105,0.4625,3.11625,0.24875,1.0565625
12.479375,0.52259375,0.8875,0.8645,3.57125,0.07375,1.1865625
13.120625,0.80740625,0.6175,0.5635,3.84375,-0.46625,1.0921875
13.334375,0.56590625,0.2995,0.2485,3.21375,1.12875,1.2015625
13.904375,0.65909375,0.4505,0.9575,4.70875,1.09375,1.3740625
14.023125,0.68140625,0.8815,0.4015,3.42875,0.65375,1.2840625
14.521875,0.54753125,0.6315,0.5925,4.89375,-0.05375,1.4853125
14.949375,1.03709375,0.4015,0.2025,3.51625,-0.38125,1.2534375
15.186875,1.17884375,0.2365,0.7115,4.46125,1.00625,1.0146875
15.590625,1.01740625,0.1215,0.4145,4.13125,0.47375,1.3315625
15.946875,1.34421875,0.5915,0.5095,3.30625,1.26375,1.0778125
16.326875,0.95703125,0.2675,0.8985,3.46375,-0.13625,1.0884375
